title,score,members,favorites,episodes,status,genres,season,year,members_norm,favorites_norm,final_score
Megami no Café Terrace,7.31,161670,719,12,Finished Airing,"['Comedy', 'Romance', 'Ecchi']",spring,2023,0.034372219408358544,0.006923713456724172,4.395631611870598
Ousama Ranking: Yuuki no Takarabako,7.39,161253,653,10,Finished Airing,"['Adventure', 'Fantasy']",spring,2023,0.03422951088965243,0.006232389571483937,4.443492236158135
Kimetsu no Yaiba: Hashira Geiko-hen,8.03,751002,4938,8,Finished Airing,"['Action', 'Supernatural']",spring,2024,0.23605734349974675,0.05111606909049011,4.884681746238511
Kaijuu 8-gou,8.22,709452,6648,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",spring,2024,0.22183782562867038,0.06902764248080528,4.997813602779289
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.39,556404,4583,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",spring,2024,0.16946071922355616,0.04739758455624339,5.083474817489325
Kono Subarashii Sekai ni Shukufuku wo! 3,8.34,539236,5580,11,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",spring,2024,0.16358537186349262,0.057840765065099664,5.053572457725638
Tensei shitara Slime Datta Ken 3rd Season,7.7,462842,4383,24,Finished Airing,"['Action', 'Comedy', 'Fantasy']",spring,2024,0.13744130812719882,0.04530266369187904,4.661155726585581
Boku no Hero Academia 7th Season,8.12,462192,3028,21,Finished Airing,['Action'],spring,2024,0.13721886079588233,0.031109574835810578,4.9109711514243415
Wind Breaker,7.72,450206,3640,13,Finished Airing,['Action'],spring,2024,0.13311693200640648,0.03752003268076549,4.670907237903716
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",7.41,258304,1200,12,Finished Airing,"['Adventure', 'Fantasy']",spring,2024,0.06744295081518391,0.011961998135520431,4.464655037424124
Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.12,257093,2198,25,Finished Airing,"['Adventure', 'Drama', 'Romance', 'Supernatural']",spring,2024,0.06702851432560814,0.02241565324869853,4.8921194765687055
Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,6.82,244382,1053,12,Finished Airing,"['Adventure', 'Fantasy', 'Romance']",spring,2024,0.06267847120504853,0.010422231300212635,4.109232952496294
Look Back,8.62,230914,4748,1,Finished Airing,['Drama'],spring,2024,0.05806936250017111,0.049125894269343974,5.193886224765444
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",7.29,204952,811,12,Finished Airing,"['Action', 'Fantasy', 'Romance']",spring,2024,0.04918447386072744,0.007887377054331773,4.387479225023331
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",6.48,204395,830,12,Finished Airing,"['Action', 'Fantasy']",spring,2024,0.048993853609122395,0.008086394536446386,3.9014614225827473
Sentai Daishikkaku,7.3,197014,842,12,Finished Airing,"['Action', 'Fantasy']",spring,2024,0.0464678786053579,0.008212089788308247,4.392848783119586
"Tensei Kizoku, Kantei Skill de Nariagaru",7.16,190793,442,12,Finished Airing,"['Adventure', 'Fantasy']",spring,2024,0.04433888653132743,0.00402224805957955,4.307688058841769
Re:Monster,6.54,183644,558,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",spring,2024,0.04189230811350974,0.0052373021609108715,3.9352586723525143
Yozakura-san Chi no Daisakusen,7.57,156060,790,27,Finished Airing,"['Action', 'Comedy']",spring,2024,0.03245232782576556,0.007667410363573516,4.5512631935109775
Mahouka Koukou no Rettousei 3rd Season,7.04,155310,484,13,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",spring,2024,0.0321956578280927,0.004462181441096062,4.232718241673188
Unnamed Memory,6.8,155282,724,12,Finished Airing,"['Adventure', 'Fantasy', 'Romance']",spring,2024,0.032186075481512914,0.006976086478333281,4.089092931842128
The New Gate,6.46,148343,420,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",spring,2024,0.029811364663043627,0.003791806764499471,3.884021612180436
Jiisan Baasan Wakagaeru,7.45,148131,582,11,Finished Airing,"['Comedy', 'Romance', 'Supernatural']",spring,2024,0.0297388126103681,0.005488692664634594,4.478258007052287
Date A Live V,7.69,139407,1426,12,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",spring,2024,0.026753227197437408,0.014329258712252145,4.622837695606197
Hananoi-kun to Koi no Yamai,6.76,136763,569,12,Finished Airing,['Romance'],spring,2024,0.025848379898974688,0.0053525228084509106,4.063264973396011
Bartender: Kami no Glass,7.38,135136,534,12,Finished Airing,"['Drama', 'Gourmet']",spring,2024,0.025291577117356367,0.00498591165718715,4.4350707810279175
Girls Band Cry,8.36,132995,3096,13,Finished Airing,['Drama'],spring,2024,0.024558869830666248,0.031821847929694454,5.02691299464712
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.32,1263664,12425,13,Finished Airing,"['Drama', 'Fantasy', 'Suspense']",summer,2020,0.4115039492956975,0.1295394316479695,5.114306902071119
"Kanojo, Okarishimasu",6.85,1079788,8257,12,Finished Airing,"['Comedy', 'Romance']",summer,2020,0.3485766793062381,0.08588128083461648,4.210026361951751
The God of High School,7.07,994537,4285,13,Finished Airing,"['Action', 'Fantasy']",summer,2020,0.3194015140107596,0.04427615246834051,4.328491801372941
Enen no Shouboutai: Ni no Shou,7.82,904909,3102,24,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",summer,2020,0.2887284226088623,0.031884695555625384,4.76896480998556
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",7.31,895706,5778,13,Finished Airing,"['Action', 'Fantasy']",summer,2020,0.2855789106240845,0.05991473672082037,4.466381938164144
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,812779,14903,12,Finished Airing,"['Comedy', 'Romance']",summer,2020,0.25719908009472836,0.1554955011574438,5.097624095197299
Great Pretender,8.19,741296,10472,23,Finished Airing,"['Action', 'Adventure', 'Mystery']",summer,2020,0.2327356915031964,0.10908252940745164,4.988546302286917
Violet Evergarden Movie,8.83,718381,9725,1,Finished Airing,"['Award Winning', 'Drama']",summer,2020,0.22489356750763165,0.10125799997905079,5.369412091873766
Sword Art Online: Alicization - War of Underworld 2nd Season,7.51,681379,3352,11,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2020,0.2122304965024435,0.034503346636080824,4.564233126121022
Uzaki-chan wa Asobitai!,6.96,524925,1787,12,Finished Airing,"['Comedy', 'Romance']",summer,2020,0.15868776608123092,0.018110590872429794,4.218388530151172
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.63,402498,8487,1,Finished Airing,"['Action', 'Fantasy']",summer,2020,0.11678998234110416,0.08829043982863548,5.220441061559571
Deca-Dence,7.35,325188,977,12,Finished Airing,"['Action', 'Adventure', 'Sci-Fi']",summer,2020,0.09033243898098589,0.009626161371754182,4.4340270339510095
Given Movie 1,8.11,262031,1701,1,Finished Airing,"['Boys Love', 'Drama']",summer,2020,0.06871842959028623,0.017209774900753125,4.885761073632684
Monster Musume no Oishasan,6.52,248203,468,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",summer,2020,0.06398611928652585,0.004294587771946915,3.928640717987423
Peter Grill to Kenja no Jikan,5.53,221211,804,12,Finished Airing,"['Comedy', 'Fantasy', 'Erotica']",summer,2020,0.05474873718361145,0.007814054824079021,3.332859292519515
Umibe no Étranger,7.8,217518,3066,1,Finished Airing,['Boys Love'],summer,2020,0.05348489411507029,0.031507609800039804,4.698097364998773
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,7.17,198539,193,2,Finished Airing,['Action'],summer,2020,0.046989774267292714,0.0014140715834459353,4.31395955430434
Dokyuu Hentai HxEros,5.75,157965,285,12,Finished Airing,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",summer,2020,0.033104269619854625,0.0023777351810535356,3.4586327276821214
Nihon Chinbotsu 2020,6.46,157003,430,10,Finished Airing,"['Drama', 'Sci-Fi']",summer,2020,0.032775047569506235,0.0038965528077176885,3.884778244813534
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,7.55,134252,322,1,Finished Airing,"['Comedy', 'Romance']",summer,2020,0.024989048746765958,0.00276529554096094,4.536662056517835
Quanzhi Gaoshou 2,7.9,129376,558,12,Finished Airing,['Action'],summer,2020,0.023320351535228812,0.0052373021609108715,4.746615683207944
Date A Bullet: Dead or Bullet,7.59,117240,618,1,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",summer,2020,0.019167088746218395,0.005865778420220176,4.559671638949587
Aggressive Retsuko (ONA) 3rd Season,7.78,98489,270,10,Finished Airing,['Comedy'],summer,2020,0.012749996577733364,0.0022206161162262096,4.671520591561867
Shingeki no Kyojin: Chronicle,7.84,98128,241,1,Finished Airing,"['Action', 'Drama', 'Suspense']",summer,2020,0.012626452752186828,0.001916852590893379,4.707444141076681
"Omoi, Omoware, Furi, Furare",7.25,87464,340,1,Finished Airing,"['Drama', 'Romance']",summer,2020,0.008976947611942341,0.0029538384187537316,4.352687312665798
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.29,896458,11030,12,Finished Airing,"['Action', 'Comedy', 'Fantasy']",summer,2021,0.28583626507508453,0.11492735861902817,5.0626981700616245
Vanitas no Karte,7.9,620347,8327,12,Finished Airing,"['Action', 'Fantasy', 'Mystery']",summer,2021,0.19134371877181694,0.086614503137144,4.800828105163526
Kobayashi-san Chi no Maid Dragon S,8.2,607890,5769,12,Finished Airing,"['Slice of Life', 'Supernatural']",summer,2021,0.18708060122380255,0.059820465281923973,4.975743220098238
Tsuki ga Michibiku Isekai Douchuu,7.71,549370,4797,12,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",summer,2021,0.1670534968720483,0.04963914988111324,4.675209246700178
Genjitsu Shugi Yuusha no Oukoku Saikenki,7.25,453767,2775,13,Finished Airing,"['Action', 'Fantasy', 'Romance']",summer,2021,0.13433560115535723,0.028459499942389676,4.387852825280198
Seirei Gensouki,7.06,448815,3465,12,Finished Airing,"['Action', 'Adventure', 'Fantasy', 'Romance']",summer,2021,0.1326408947173892,0.03568697692444668,4.274513270218014
Kanojo mo Kanojo,6.51,419891,2542,12,Finished Airing,"['Comedy', 'Romance']",summer,2021,0.12274233070046954,0.02601891713540521,3.940588420245428
"Tantei wa Mou, Shindeiru.",6.43,408451,3262,12,Finished Airing,"['Comedy', 'Mystery', 'Romance']",summer,2021,0.11882725766929952,0.03356063224711687,3.892740909254392
Bokutachi no Remake,7.38,379112,2475,12,Finished Airing,"['Drama', 'Romance']",summer,2021,0.10878666958700087,0.025317118645843153,4.458994235193627
Sonny Boy,7.85,373715,8867,12,Finished Airing,"['Award Winning', 'Mystery']",summer,2021,0.10693967228374697,0.09227078947092773,4.750575536491576
Boku no Hero Academia the Movie 3: World Heroes' Mission,7.58,287612,1038,1,Finished Airing,['Action'],summer,2021,0.0774729298709121,0.010265112235385308,4.568907999303035
Shinigami Bocchan to Kuro Maid,7.58,280297,1772,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",summer,2021,0.07496954182694282,0.017953471807602466,4.569435406227876
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,7.25,272675,1122,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",summer,2021,0.07236109019725945,0.011144978998418334,4.369762019399077
Uramichi Oniisan,7.69,266742,2680,13,Finished Airing,['Comedy'],summer,2021,0.07033065940233535,0.027464412531816612,4.635702326730356
Jahy-sama wa Kujikenai!,7.0,266700,1451,20,Finished Airing,"['Comedy', 'Supernatural']",summer,2021,0.07031628588246568,0.014591123820297688,4.219767740043661
Cider no You ni Kotoba ga Wakiagaru,7.38,263531,1736,1,Finished Airing,['Romance'],summer,2021,0.06923176958563196,0.017576386052016887,4.44794440030421
Meikyuu Black Company,7.21,254239,886,12,Finished Airing,"['Comedy', 'Fantasy']",summer,2021,0.06605179942779701,0.008672972378468403,4.343813895713719
Deatte 5-byou de Battle,6.75,237182,967,12,Finished Airing,"['Action', 'Suspense']",summer,2021,0.06021443922738908,0.009521415328535964,4.066481822106128
Megami-ryou no Ryoubo-kun.,6.49,222684,1312,10,Finished Airing,"['Comedy', 'Romance', 'Ecchi']",summer,2021,0.055252837059040945,0.013135153819564467,3.9097834823376947
Heion Sedai no Idaten-tachi,7.6,208850,1672,11,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2021,0.05051847339529918,0.016906011375420294,4.575165520055138
Peach Boy Riverside,6.24,200986,692,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2021,0.04782720291303336,0.006640899140034985,3.7569529355992635
Hanma Baki: Son of Ogre,7.63,195454,721,12,Finished Airing,['Sports'],summer,2021,0.045934005010198356,0.006944662665367815,4.590525200652355
Ryuu to Sobakasu no Hime,7.47,187924,1767,1,Finished Airing,"['Drama', 'Fantasy', 'Sci-Fi']",summer,2021,0.04335703823356285,0.017901098785993358,4.495524424376289
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,6.79,186102,645,12,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",summer,2021,0.042733501252549586,0.006148592736909363,4.0856056642236735
Shiroi Suna no Aquatope,7.51,181769,1441,24,Finished Airing,['Drama'],summer,2021,0.04125063311932759,0.01448637777707947,4.5184856149463934
Cyberpunk: Edgerunners,8.62,1025161,34246,10,Finished Airing,"['Action', 'Sci-Fi']",summer,2022,0.32988186335573777,0.35810577255444176,5.3081863317221005
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.05,782478,8402,13,Finished Airing,"['Drama', 'Suspense']",summer,2022,0.2468292699620813,0.08740009846128062,4.904817332259713
Yofukashi no Uta,7.94,756842,10381,13,Finished Airing,"['Romance', 'Supernatural']",summer,2022,0.2380559472149594,0.10812934041416586,4.8397333878658655
Overlord IV,8.06,626925,7462,13,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2022,0.1935948857647397,0.07755397039876818,4.896031817001
Lycoris Recoil,8.14,587358,9749,13,Finished Airing,['Action'],summer,2022,0.18005400336751037,0.10150939048277452,4.944239909414294
Made in Abyss: Retsujitsu no Ougonkyou,8.6,532457,6888,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",summer,2022,0.16126541731119354,0.07154154751804251,5.2110475864555035
Hataraku Maou-sama!!,6.65,522240,4719,12,Finished Airing,"['Comedy', 'Supernatural']",summer,2022,0.15776888748956208,0.04882213074401114,4.036765541483993
"Kanojo, Okarishimasu 2nd Season",6.71,470826,4866,12,Finished Airing,"['Comedy', 'Romance']",summer,2022,0.14017364580909228,0.05036189757931894,4.068597696089171
Isekai Ojisan,7.75,422413,2314,13,Finished Airing,"['Comedy', 'Fantasy']",summer,2022,0.12360542634597747,0.023630707350029853,4.684445962688999
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,7.74,403535,2155,11,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2022,0.11714487139121983,0.021965245262860197,4.676581004637233
Dr. Stone: Ryuusui,8.12,379270,943,1,Finished Airing,"['Adventure', 'Comedy']",summer,2022,0.10884074139984394,0.009270024824812243,4.900600689073682
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.04,342655,1309,12,Finished Airing,"['Action', 'Adventure']",summer,2022,0.09631011211345498,0.013103730006599,4.850043087529352
Mamahaha no Tsurego ga Motokano datta,6.72,335754,1593,12,Finished Airing,"['Comedy', 'Romance']",summer,2022,0.09394840590820112,0.016078517633996377,4.05789887912215
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,6.79,333832,2189,12,Finished Airing,"['Fantasy', 'Ecchi']",summer,2022,0.09329064626083147,0.022321381809802136,4.100670868836678
Isekai Meikyuu de Harem wo,6.53,294587,2208,12,Finished Airing,"['Action', 'Adventure', 'Fantasy', 'Erotica']",summer,2022,0.07985996084926969,0.022520399291916748,3.941343050106105
Kuro no Shoukanshi,7.01,290083,1158,12,Finished Airing,"['Action', 'Fantasy']",summer,2022,0.07831857195657828,0.011522064754003917,4.227307952702245
Engage Kiss,6.78,275364,1287,13,Finished Airing,"['Action', 'Comedy', 'Romance']",summer,2022,0.07328133769558254,0.012873288711518922,4.088251327730624
Isekai Yakkyoku,7.26,269032,999,12,Finished Airing,['Fantasy'],summer,2022,0.07111435846189648,0.00985660266683426,4.3752570800154995
Kumichou Musume to Sewagakari,7.74,259016,1174,12,Finished Airing,['Slice of Life'],summer,2022,0.06768661619964135,0.011689658423153065,4.662675102813384
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",6.32,250027,1421,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2022,0.06461034072086624,0.014276885690643035,3.810294118033813
"Natsu e no Tunnel, Sayonara no Deguchi",7.97,245613,2656,1,Finished Airing,"['Drama', 'Mystery', 'Romance', 'Supernatural']",summer,2022,0.06309975222789559,0.02721302202809289,4.801856891361187
One Piece Film: Red,7.81,223933,1732,1,Finished Airing,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Fantasy']",summer,2022,0.055680278161832145,0.017534487634729597,4.702550242685668
Soredemo Ayumu wa Yosetekuru,7.01,183216,672,12,Finished Airing,"['Comedy', 'Romance']",summer,2022,0.04174583510150443,0.00643140705359855,4.2174011698334155
Saikin Yatotta Maid ga Ayashii,6.56,144971,532,11,Finished Airing,"['Comedy', 'Romance']",summer,2022,0.028657376353506455,0.004964962448543506,3.9439090884556576
Shadows House 2nd Season,8.02,139001,726,12,Finished Airing,"['Fantasy', 'Mystery']",summer,2022,0.0266142831720305,0.0069970356869769245,4.819703126146053
Jujutsu Kaisen 2nd Season,8.71,1350133,25898,23,Finished Airing,"['Action', 'Supernatural']",summer,2023,0.44109594666739677,0.27066377567587385,5.37687355301823
Mushoku Tensei II: Isekai Ittara Honki Dasu,8.2,739056,7808,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",summer,2023,0.23196910377681346,0.08117818349411851,4.99016900346832
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,7.71,669016,4253,12,Finished Airing,"['Comedy', 'Suspense']",summer,2023,0.2079995482608041,0.04394096513004221,4.684591031834707
Horimiya: Piece,8.13,448011,3047,13,Finished Airing,['Romance'],summer,2023,0.13236574447988392,0.03130859231792519,4.91578772496766
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,402507,5040,13,Finished Airing,"['Action', 'Adventure', 'Supernatural']",summer,2023,0.11679306238107623,0.052184478731315924,5.257025937404967
Watashi no Shiawase na Kekkon,7.68,376792,3277,12,Finished Airing,"['Drama', 'Fantasy', 'Romance']",summer,2023,0.10799270372753282,0.03371775131194419,4.640055838628674
Masamune-kun no Revenge R,7.23,254364,1351,12,Finished Airing,"['Comedy', 'Romance']",summer,2023,0.0660945777607425,0.013543663388115515,4.356555193948403
Bungou Stray Dogs 5th Season,8.6,253633,2946,11,Finished Airing,"['Action', 'Mystery']",summer,2023,0.06584441006967735,0.030250657281421196,5.1809987011096315
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,7.54,241852,413,1,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",summer,2023,0.06181263774623209,0.0037184845342467187,4.5400109321166955
Suki na Ko ga Megane wo Wasureta,7.15,239108,1562,13,Finished Airing,"['Comedy', 'Romance']",summer,2023,0.060873567781412986,0.015753804900019902,4.307581462680356
"Kanojo, Okarishimasu 3rd Season",6.95,218071,1025,12,Finished Airing,"['Comedy', 'Romance']",summer,2023,0.05367414546002108,0.010128942379201625,4.184937877721886
Yumemiru Danshi wa Genjitsushugisha,6.62,216758,1173,12,Finished Airing,"['Comedy', 'Romance']",summer,2023,0.053224801850761796,0.011679183818831243,3.987058078035515
"Jitsu wa Ore, Saikyou deshita?",6.46,206413,587,12,Finished Airing,"['Adventure', 'Fantasy']",summer,2023,0.04968446701619417,0.005541065686243702,3.889252276606985
Nanatsu no Maken ga Shihai suru,6.56,186050,809,15,Finished Airing,"['Action', 'Fantasy']",summer,2023,0.04271570546604427,0.00786642784568813,3.9478588905433636
Dark Gathering,7.84,184147,1406,25,Finished Airing,"['Horror', 'Supernatural']",summer,2023,0.04206444812528234,0.01411976662581571,4.716634077025192
Undead Girl Murder Farce,7.84,182706,912,13,Finished Airing,"['Fantasy', 'Mystery']",summer,2023,0.041571299503086884,0.008945312090835768,4.715734621689397
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,6.42,178574,415,12,Finished Airing,"['Comedy', 'Fantasy']",summer,2023,0.04015721892924121,0.0037394337428903624,3.8626002197937437
Liar Liar,6.29,176584,698,12,Finished Airing,['Suspense'],summer,2023,0.03947618786874923,0.006703746765965916,3.784874608982082
Hataraku Maou-sama!! 2nd Season,6.67,173830,338,12,Finished Airing,"['Comedy', 'Supernatural']",summer,2023,0.038533695637294495,0.002932889210110088,4.01207335729084
Shiguang Dailiren II,8.64,168317,2138,12,Finished Airing,"['Drama', 'Mystery', 'Suspense']",summer,2023,0.0366470000410672,0.021787176989389225,5.196429826558676
Level 1 dakedo Unique Skill de Saikyou desu,6.2,155161,340,12,Finished Airing,"['Adventure', 'Fantasy']",summer,2023,0.0321446660552217,0.0029538384187537316,3.7284792422766184
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),7.62,151495,923,24,Finished Airing,['Action'],summer,2023,0.03089006310659676,0.009060532738375808,4.581081595687405
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",7.11,145934,405,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",summer,2023,0.028986940630518404,0.003634687699672145,4.27379193831258
Eiyuu Kyoushitsu,6.04,145466,493,12,Finished Airing,"['Action', 'Fantasy', 'Ecchi']",summer,2023,0.02882677855197054,0.004556452879992458,3.631890162569991
Kimitachi wa Dou Ikiru ka,7.6,144557,716,1,Finished Airing,"['Adventure', 'Award Winning', 'Drama', 'Fantasy']",summer,2023,0.028515694514791037,0.006892289643758707,4.568162767075261
[Oshi no Ko] 2nd Season,8.52,501574,6047,13,Finished Airing,['Drama'],summer,2024,0.15069643126035237,0.06273240528339041,5.159083968607596
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,7.55,484495,5648,12,Finished Airing,"['Comedy', 'Romance']",summer,2024,0.14485154207334602,0.05855303815898354,4.574995841242184
Tsue to Tsurugi no Wistoria,7.85,348187,1869,12,Finished Airing,"['Action', 'Fantasy']",summer,2024,0.09820331001628999,0.018969508426819177,4.737396253768096
Make Heroine ga Oosugiru!,8.08,321889,3507,12,Finished Airing,"['Comedy', 'Romance']",summer,2024,0.08920343321788887,0.03612691030596319,4.875719894850366
Kami no Tou: Ouji no Kikan,6.66,287086,1298,13,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",summer,2024,0.07729291864587753,0.012988509359058962,4.017271506065328
Shikanoko Nokonoko Koshitantan,6.95,272877,1698,12,Finished Airing,['Comedy'],summer,2024,0.07243021998329933,0.01717835108778766,4.1906843076589935
Isekai Shikkaku,7.25,232157,848,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",summer,2024,0.05849475024298093,0.008274937414239177,4.365864928172881
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",6.47,223851,860,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.05565221557541991,0.008400632666101039,3.8971731487937697
Giji Harem,7.82,219258,1699,12,Finished Airing,"['Comedy', 'Romance']",summer,2024,0.05408036850967132,0.017188825692109482,4.708098415981234
"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",6.87,211560,701,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.0514459076535571,0.006735170578931381,4.135871752500229
Gimai Seikatsu,7.31,205122,1591,12,Finished Airing,['Romance'],summer,2024,0.04924265239353329,0.016057568425352733,4.400719298362186
"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",7.36,202727,715,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.04842301953429796,0.0068818150394368855,4.429138027139491
Nige Jouzu no Wakagimi,7.78,201058,851,12,Finished Airing,"['Adventure', 'Comedy']",summer,2024,0.04785184323280996,0.008306361227204642,4.6812089149922835
Fairy Tail: 100-nen Quest,7.6,169921,1710,25,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.037195931609423555,0.01730404633964952,4.571894589853303
Isekai Suicide Squad,6.37,159101,559,10,Finished Airing,"['Action', 'Fantasy']",summer,2024,0.033493039109663114,0.005247776765232693,3.8311604262922008
2.5-jigen no Ririsa,7.41,156073,979,24,Finished Airing,"['Comedy', 'Ecchi']",summer,2024,0.03245677677239189,0.009647110580397826,4.455561260780158
Maougun Saikyou no Majutsushi wa Ningen datta,6.41,149453,423,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.030191236259599456,0.003823230577464936,3.8541212936515197
Shoushimin Series,7.35,139655,697,10,Finished Airing,['Mystery'],summer,2024,0.02683809941000123,0.006693272161644094,4.417713515676746
Naze Boku no Sekai wo Daremo Oboeteinai no ka?,6.23,137040,388,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",summer,2024,0.025943176684781865,0.0034566194262011752,3.7450042870851257
Overlord Movie 3: Sei Oukoku-hen,7.75,115509,434,1,Finished Airing,"['Action', 'Adventure', 'Fantasy']",summer,2024,0.018574694391589437,0.0039384512250049755,4.655234441281648
Kimi ni Todoke 3rd Season,8.43,110092,791,5,Finished Airing,"['Drama', 'Romance']",summer,2024,0.01672085255506427,0.007677884967895338,5.06333189588395
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",6.77,109449,572,12,Finished Airing,"['Action', 'Fantasy', 'Romance']",summer,2024,0.01650080081039274,0.005383946621416376,4.06693279219581
NieR:Automata Ver1.1a Part 2,8.05,108666,564,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",summer,2024,0.016232837332822273,0.005300149786841802,4.834853231801232
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,7.55,103330,483,12,Finished Airing,"['Comedy', 'Romance']",summer,2024,0.014406715856045776,0.004451706836774241,4.534269434989527
Monogatari Series: Off & Monster Season,8.65,100817,884,14,Finished Airing,"['Comedy', 'Mystery', 'Supernatural']",summer,2024,0.013546700250509918,0.00865202316982476,5.194684478538102
Haikyuu!! To the Top,8.37,1042568,5530,13,Finished Airing,['Sports'],winter,2020,0.335839002888393,0.05731703484900858,5.1145573059494485
Jibaku Shounen Hanako-kun,7.82,681481,12729,12,Finished Airing,['Supernatural'],winter,2020,0.212265403622127,0.1327237113618033,4.764974907609802
Dorohedoro,8.04,625998,10146,12,Finished Airing,"['Action', 'Comedy', 'Fantasy', 'Horror']",winter,2020,0.19327764164761604,0.10566780839853775,4.888169581671684
Darwin's Game,7.2,610326,2717,11,Finished Airing,"['Action', 'Mystery', 'Suspense']",winter,2020,0.187914265376244,0.027851972891724017,4.371156362277819
