title,score,members,favorites,episodes,status,genres,season,year
Shuumatsu no Harem,5.89,279055,2074,11,Finished Airing,"['Sci-Fi', 'Erotica']",winter,2022
Sabikui Bisco,7.14,277205,1465,12,Finished Airing,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",winter,2022
Sasaki to Miyano,8.18,233862,5635,12,Finished Airing,['Boys Love'],winter,2022
Akebi-chan no Sailor-fuku,7.64,212315,1239,12,Finished Airing,['Slice of Life'],winter,2022
Karakai Jouzu no Takagi-san 3,8.36,210292,2350,12,Finished Airing,"['Comedy', 'Romance']",winter,2022
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.79,209906,637,1,Finished Airing,"['Adventure', 'Drama', 'Fantasy']",winter,2022
Fantasy Bishoujo Juniku Ojisan to,7.12,205578,874,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",winter,2022
Kotarou wa Hitorigurashi,8.15,202600,2302,10,Finished Airing,['Slice of Life'],winter,2022
Koroshi Ai,6.9,195077,1025,12,Finished Airing,"['Action', 'Romance']",winter,2022
Leadale no Daichi nite,6.95,186635,984,12,Finished Airing,"['Adventure', 'Fantasy']",winter,2022
Kenja no Deshi wo Nanoru Kenja,6.33,142439,655,12,Finished Airing,"['Adventure', 'Fantasy']",winter,2022
Princess Connect! Re:Dive Season 2,7.72,141034,828,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",winter,2022
Orient,6.61,130013,527,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2022
Fruits Basket: Prelude,8.36,129304,874,1,Finished Airing,"['Drama', 'Romance']",winter,2022
Heike Monogatari,7.8,92469,853,11,Finished Airing,"['Drama', 'Supernatural']",winter,2022
Ryman's Club,7.34,86915,539,12,Finished Airing,['Sports'],winter,2022
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.78,82766,291,1,Finished Airing,"['Slice of Life', 'Supernatural']",winter,2022
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,846372,17235,2,Finished Airing,"['Action', 'Drama', 'Suspense']",winter,2023
Vinland Saga Season 2,8.82,833852,20125,24,Finished Airing,"['Action', 'Adventure', 'Drama']",winter,2023
Tomo-chan wa Onnanoko!,7.71,500114,3239,13,Finished Airing,"['Comedy', 'Romance']",winter,2023
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.85,425087,7041,12,Finished Airing,['Romance'],winter,2023
Tokyo Revengers: Seiya Kessen-hen,7.62,423458,2581,13,Finished Airing,"['Action', 'Drama']",winter,2023
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",6.83,402504,3997,12,Finished Airing,"['Action', 'Fantasy']",winter,2023
Bungou Stray Dogs 4th Season,8.42,354560,3415,13,Finished Airing,"['Action', 'Mystery']",winter,2023
Buddy Daddies,8.1,349288,3602,12,Finished Airing,"['Action', 'Comedy']",winter,2023
NieR:Automata Ver1.1a,7.55,334239,2429,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",winter,2023
"Ijiranaide, Nagatoro-san 2nd Attack",7.43,330287,2094,12,Finished Airing,"['Comedy', 'Romance']",winter,2023
Tondemo Skill de Isekai Hourou Meshi,7.64,329446,2478,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",winter,2023
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,8.25,289229,1912,11,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2023
Isekai Nonbiri Nouka,7.53,282665,2179,12,Finished Airing,"['Fantasy', 'Slice of Life']",winter,2023
Saikyou Onmyouji no Isekai Tenseiki,7.1,272065,1025,13,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2023
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,7.22,271643,1365,12,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",winter,2023
Koori Zokusei Danshi to Cool na Douryou Joshi,7.3,256331,1321,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",winter,2023
Kubo-san wa Mob wo Yurusanai,7.54,250916,1700,12,Finished Airing,"['Comedy', 'Romance']",winter,2023
Trigun Stampede,7.82,231590,2578,12,Finished Airing,"['Action', 'Adventure', 'Sci-Fi']",winter,2023
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.46,226852,1768,12,Finished Airing,"['Fantasy', 'Girls Love']",winter,2023
"Benriya Saitou-san, Isekai ni Iku",7.37,223257,807,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",winter,2023
Hyouken no Majutsushi ga Sekai wo Suberu,6.35,213409,836,12,Finished Airing,"['Action', 'Fantasy']",winter,2023
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,6.33,205418,721,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2023
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,6.99,186445,585,12,Finished Airing,['Fantasy'],winter,2023
Kyokou Suiri Season 2,7.35,186163,602,12,Finished Airing,"['Mystery', 'Romance', 'Supernatural']",winter,2023
Oniichan wa Oshimai!,7.64,184995,2702,12,Finished Airing,['Comedy'],winter,2023
Ore dake Level Up na Ken,8.18,1106882,19822,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2024
Dungeon Meshi,8.59,565660,12187,24,Finished Airing,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",winter,2024
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,7.94,514546,4486,13,Finished Airing,"['Drama', 'Suspense']",winter,2024
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,7.78,498266,2078,12,Finished Airing,"['Action', 'Comedy', 'Fantasy']",winter,2024
Yubisaki to Renren,8.2,337521,4550,12,Finished Airing,['Romance'],winter,2024
Tsuki ga Michibiku Isekai Douchuu 2nd Season,7.84,325541,2368,25,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",winter,2024
Chiyu Mahou no Machigatta Tsukaikata,7.53,316639,1463,13,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2024
Boku no Kokoro no Yabai Yatsu 2nd Season,8.7,300594,6068,13,Finished Airing,"['Comedy', 'Romance']",winter,2024
Mato Seihei no Slave,6.86,260775,1843,12,Finished Airing,"['Action', 'Fantasy', 'Ecchi']",winter,2024
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",7.53,229350,1893,12,Finished Airing,['Romance'],winter,2024
Nozomanu Fushi no Boukensha,7.43,220939,927,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2024
Haikyuu!! Movie: Gomisuteba no Kessen,8.61,220156,1710,1,Finished Airing,['Sports'],winter,2024
Dosanko Gal wa Namara Menkoi,7.05,217656,1120,12,Finished Airing,"['Comedy', 'Romance']",winter,2024
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,7.13,203490,952,12,Finished Airing,['Fantasy'],winter,2024
Mahou Shoujo ni Akogarete,7.61,200002,2309,13,Finished Airing,"['Action', 'Comedy', 'Girls Love', 'Ecchi']",winter,2024
Ninja Kamui,6.54,195850,1104,13,Finished Airing,"['Action', 'Sci-Fi']",winter,2024
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",6.36,187546,663,12,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",winter,2024
Majo to Yajuu,7.45,186809,1141,12,Finished Airing,"['Action', 'Fantasy']",winter,2024
Ao no Exorcist: Shimane Illuminati-hen,7.11,181182,622,12,Finished Airing,"['Action', 'Supernatural']",winter,2024
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",6.76,152873,393,12,Finished Airing,"['Fantasy', 'Romance']",winter,2024
Jaku-Chara Tomozaki-kun 2nd Stage,7.04,149446,624,13,Finished Airing,"['Drama', 'Romance']",winter,2024
Oroka na Tenshi wa Akuma to Odoru,6.91,145757,444,12,Finished Airing,"['Comedy', 'Romance', 'Supernatural']",winter,2024
Kekkon Yubiwa Monogatari,6.07,141153,397,12,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Ecchi']",winter,2024
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,7.57,138701,754,12,Finished Airing,"['Adventure', 'Fantasy']",winter,2024
Ishura,6.73,132454,472,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",winter,2024
